PropertyID,Date,Status,BookedDate,PriceUSD,PriceNative,PriceNative.1,ReservationID,AirbnbPropertyID,HomeAwayPropertyID
ab-5944989,01/11/2018,A,,1288,1288,USD,,5944989,883087vb
ab-5944989,02/11/2018,A,,1288,1288,USD,,5944989,883087vb
ab-5944989,03/11/2018,A,,1288,1288,USD,,5944989,883087vb
ab-5944989,04/11/2018,A,,1288,1288,USD,,5944989,883087vb
ab-5944989,05/11/2018,A,,1288,1288,USD,,5944989,883087vb
ab-5944989,06/11/2018,A,,1288,1288,USD,,5944989,883087vb
ab-5944989,07/11/2018,A,,1288,1288,USD,,5944989,883087vb
ab-5944989,08/11/2018,A,,1288,1288,USD,,5944989,883087vb
ab-5944989,09/11/2018,A,,1288,1288,USD,,5944989,883087vb
ab-5944989,10/11/2018,A,,1288,1288,USD,,5944989,883087vb
ab-5944989,11/11/2018,A,,1288,1288,USD,,5944989,883087vb
ab-5944989,12/11/2018,B,,1288,1288,USD,,5944989,883087vb
ab-5944989,13/11/2018,R,29/09/2018,1175,1175,USD,47155110.0,5944989,883087vb
ab-5944989,14/11/2018,B,,1288,1288,USD,,5944989,883087vb
ab-5944989,15/11/2018,B,,1288,1288,USD,,5944989,883087vb
ab-5944989,16/11/2018,B,,1288,1288,USD,,5944989,883087vb
ab-5944989,17/11/2018,B,,1288,1288,USD,,5944989,883087vb
ab-5944989,18/11/2018,B,,1249,1249,USD,,5944989,883087vb
ab-5944989,19/11/2018,R,17/10/2018,1175,1175,USD,47155116.0,5944989,883087vb
ab-5944989,20/11/2018,R,13/09/2018,1249,1249,USD,47155127.0,5944989,883087vb
ab-5944989,21/11/2018,R,13/09/2018,1249,1249,USD,47155127.0,5944989,883087vb
ab-5944989,22/11/2018,R,13/09/2018,1249,1249,USD,47155127.0,5944989,883087vb
ab-5944989,23/11/2018,R,13/09/2018,1615,1615,USD,47155127.0,5944989,883087vb
ab-5944989,24/11/2018,B,,1288,1288,USD,,5944989,883087vb
ab-5944989,25/11/2018,B,,1288,1288,USD,,5944989,883087vb
ab-5944989,26/11/2018,B,,1288,1288,USD,,5944989,883087vb
ab-5944989,27/11/2018,R,26/10/2018,1288,1288,USD,47155137.0,5944989,883087vb
ab-5944989,28/11/2018,R,19/11/2018,1288,1288,USD,47155144.0,5944989,883087vb
ab-5944989,29/11/2018,R,19/11/2018,1288,1288,USD,47155144.0,5944989,883087vb
ab-5944989,30/11/2018,B,,1249,1249,USD,,5944989,883087vb
