Property ID,Property Type,Listing Type,Bedrooms,Reporting Month,Occupancy Rate,Revenue (USD),Revenue (Native),Average Daily Rate (USD),Average Daily Rate (Native),Number of Reservations,Reservation Days,Available Days,Blocked Days,Country,State,City,Zipcode,Neighborhood,Metropolitan Statistical Area,Latitude,Longitude,Active,Scraped During Month,Currency Native,Airbnb Property ID,Airbnb Host ID,HomeAway Property ID,HomeAway Property Manager
ab-14125,Apartment,Entire home/apt,1,01/01/2018,0.645,4693.33,4693.33,234.67,234.67,6,20,11,0,United States,California,San Francisco,94114,Mission District,"San Francisco-Oakland-Hayward, CA Metro Area",37.7549067,-122.422455,TRUE,TRUE,USD,14125,55475,277875vb,
ab-14125,Apartment,Entire home/apt,1,01/02/2018,0.385,2352.67,2352.67,235.27,235.27,4,10,16,2,United States,California,San Francisco,94114,Mission District,"San Francisco-Oakland-Hayward, CA Metro Area",37.7549067,-122.422455,TRUE,TRUE,USD,14125,55475,277875vb,
ab-14125,Apartment,Entire home/apt,1,01/03/2018,0.778,4979,4979,237.09,237.09,6,21,6,4,United States,California,San Francisco,94114,Mission District,"San Francisco-Oakland-Hayward, CA Metro Area",37.7549067,-122.422455,TRUE,TRUE,USD,14125,55475,277875vb,
ab-14125,Apartment,Entire home/apt,1,01/04/2018,0.815,5290,5290,240.46,240.46,7,22,5,3,United States,California,San Francisco,94114,Mission District,"San Francisco-Oakland-Hayward, CA Metro Area",37.7549067,-122.422455,TRUE,TRUE,USD,14125,55475,277875vb,
ab-14125,Apartment,Entire home/apt,1,01/05/2018,0.917,5170,5170,235,235,6,22,2,7,United States,California,San Francisco,94114,Mission District,"San Francisco-Oakland-Hayward, CA Metro Area",37.7549067,-122.422455,TRUE,TRUE,USD,14125,55475,277875vb,
ab-14125,Apartment,Entire home/apt,1,01/06/2018,0.852,5345,5345,232.39,232.39,6,23,4,3,United States,California,San Francisco,94114,Mission District,"San Francisco-Oakland-Hayward, CA Metro Area",37.7549067,-122.422455,TRUE,TRUE,USD,14125,55475,277875vb,
ab-14125,Apartment,Entire home/apt,1,01/07/2018,0.889,5720,5720,238.33,238.33,8,24,3,4,United States,California,San Francisco,94114,Mission District,"San Francisco-Oakland-Hayward, CA Metro Area",37.7549067,-122.422455,TRUE,TRUE,USD,14125,55475,277875vb,
ab-14125,Apartment,Entire home/apt,1,01/08/2018,0.968,6987.14,6987.14,232.91,232.91,8,30,1,0,United States,California,San Francisco,94114,Mission District,"San Francisco-Oakland-Hayward, CA Metro Area",37.7549067,-122.422455,TRUE,TRUE,USD,14125,55475,277875vb,
ab-14125,Apartment,Entire home/apt,1,01/09/2018,0.9,6321.19,6321.19,234.12,234.12,7,27,3,0,United States,California,San Francisco,94114,Mission District,"San Francisco-Oakland-Hayward, CA Metro Area",37.7549067,-122.422455,TRUE,TRUE,USD,14125,55475,277875vb,
ab-14125,Apartment,Entire home/apt,1,01/10/2018,0.968,7116.67,7116.67,237.22,237.22,9,30,1,0,United States,California,San Francisco,94114,Mission District,"San Francisco-Oakland-Hayward, CA Metro Area",37.7549067,-122.422455,TRUE,TRUE,USD,14125,55475,277875vb,
